case_id;variant;score;threshold;action;spam_flag;has_neural;neural_symbol;neural_score;n_insert_subject;n_insert_body;target_tokens_subject;target_tokens_body;message_path
RSN01;unsalted;5.499971;6.0;no action;False;True;NEURAL_SPAM;2.999971;0;0;;;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\neural_based\messages\unsalted\RSN01_unsalted.eml
RSN01;salted;5.499947;6.0;no action;False;True;NEURAL_SPAM;2.999947;0;9;;hear|Interest|rates|have|just|been|lowered|again|delay;C:\Projekte\masterthesis_cys\data\output\pilot\rspamd\neural_based\messages\salted\RSN01_salted_all_tokens.eml
