rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
__MAILBOX_FULL;body;body;likely;;;/\b(?:you(?:r (?:mail\s?box|(?:e-?|web ?)mail))? (?:is (?:almost )?full|quota is running low|(?:quota )?ha(?:s|ve) (?:reached|exceeded|passed) (?:the|your|it'?s?) (?:university )?(?:size|storage|set|(?:e-?|web ?)mail|quota|folder|mail ?box)[\/\s](?:limit |quota |account )+)|over your mail\s?box (?:size )?(?:limit|quota)|maximum mail\s?box (?:size )?(?:limit|quota) exceeded|sua (?:conta|caixa) de (?:(?:e-?|web ?)mail|correio) (?:excedeu (?:sua|o) limite|est(?:=E1|[\xe1]|[\xc3][\xa1]) quase cheio))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8900
__LOCK_MAILBOX;body;body;likely;;;"/\b(?:(?:deactivate|lock(?: up)?|lose ac+ess to|los[se] (?:of )?(?:important )?(?:information|mail|messages) in) (?:your )?(?:mail\s?box|(?:web ?|e-?)mail)|your (?:mail\s?box|(?:(?:web ?|e-?)mail)(?: account)?) (?:(?:will|may) be(?:come)? )?(?:in-?a(?:ctive|cess[ia]ble)|locked|disabled|deleted|removed)\b|ditt konto vara ""?deaktiverad""?|begr(?:=E4|\xe4|[\xc3][\xa4])nsad tillg(?:=E5|[\xe5]|[\xc3][\xa5])ng till din brevl(?:=E5|[\xe5]|[\xc3][\xa5])da|contas? de (?:web ?|e-?)mail (?:ser(?:=E1|[\xe1]|[\xc3][\xa1]) (?:desativado|exclu(?:=ED|[\xed]|[\xc3][\xad])do)|(?:=E9|[\xe9]|[\xc3][\xa9]) exclu(?:=ED|[\xed]|[\xc3][\xad])do)|destruir a sua caixa de (?:correio|entrada)|tw(?:=F3|[\xf3])j konto zostalo ograniczone|straci swoje e-?mail na sta[\xc5][\x82]e|konto zostanie automatycznie wy[\xc5][\x82][\xc4][\x85]czona|e-?mail account[^.]{0,30}deactivated (?:in|from) our (?:database|system|server)|you will be deactivated|(?:account|e?-?mail(?: ?box)?) (?:will (?:be )?)?(?:shut ?down|expire|deactivate)|we have (?:stopped|suspended) (?:processing|accepting) (?:any )?(?:incoming|new|fresh) email)/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8780
__HK_SCAM_S15;body;body;likely;;;/(?:discovered a dormant account|can you be my partner)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8496
__HK_SCAM_N15;body;body;likely;;;/\b(?:account (?:overseas?|offshore)|(?:overseas?|offshore) account)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;8484
__FRAUD_TCC;body;body;likely;;;/foreign (?:offshore )?(?:bank|account)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_advance_fee.cf;76
__FRAUD_JNB;body;body;likely;;;/\boperat(?:e|ing)\b[^.]{0,99}\b(?:for(?:ei|ie)gn|off-? ?shore|over-? ?seas?) (?:bank )?accounts?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_advance_fee.cf;64
__FRAUD_JBU;body;body;likely;;;/\bforeign account\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_advance_fee.cf;57
__DORMANT_ACCT;body;body;likely;;;/\b(?:(?:dormant|abandoned|left\s?over)\s(?:account|fund|transaction|sum|deposit)|fonds\sdorment)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7591
__BOUNCE_ETRUST;body;body;likely;;;/^eTrust Secure Content Manager SMTPMAIL could not deliver the e-mail /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;127
__ACCOUNT_UPGRADE;body;body;likely;;;/\b(?:upgrade (?:of )your (?:account|access)|your (?:access|account) is[\w\s]{0,40}being upgraded|Weiter zur Aktualisierung)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7164
__ACCOUNT_SECURE;body;body;likely;;;"/\b(?:make your (?:""?[^\@\s]+\@\S+""? |e-?mail )?account more secure|Ihre Kreditkarte weist einige Sicherheitsprobleme)\b/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7162
__ACCOUNT_REACTIV;body;body;likely;;;/(?:(?:account|access) (?:has been )?(?:successfully )?(?:reviewed and )?re-?(?:activat(?:ion|ed)|new(?:al|ed))|(?:unlock|re-?activate|restore|recover) (?:your|the|this) (?:account|access))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7160
__ACCOUNT_ERROR;body;body;likely;;;/\b(?:your account (?:is|appears to be) (?:incorrect|missing|in error|invalid))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7158
__ACCOUNT_DISRUPT;body;body;likely;;;/\b(?:ensure (?:that )?your (?:account|access) is not (?:disrupted|suspended|interrupted)|(?:avoid|incoming) (?:[a-z]+ ){0,5}e?-?mails? (?:from )?being rejected|avoid (?:account|e?-?mail(?: ?box)? )?(?:shut ?down|suspension|locking|termination|expiration)|will terminate (?:your|its) service)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7155
__ACCESS_SUSPENDED;body;body;likely;;;/\b(?:(?:access|account|e?-?mails) (?:suspension|(?:has|have) (?:been )?(?:temporar(?:il)?y (?:been )?)?(?:suspended|blocked|locked|blacklisted))|suspend (?:you from|your) access(?:ing)?|suspen(?:sion|se|ded) noti(?:ce|fication))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7152
__ACCESS_REVOKE;body;body;likely;;;/(?:(?:temporary|permanent) (?:de-?activation|removal) of your (?:\w{1,30} )?(?:access|account)|Ihre Kreditkarte wird gesperrt)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7150
