rule;baseline_occurrences;lost_in_any_variant;lost_in_all_variants;lost_rate_any_variant;lost_rate_all_variants
ENGLISH_UCE_SUBJECT;51;51;51;1.0;1.0
ENGLISH_UCE_SUBJECT	autolearn=disabled;20;20;20;1.0;1.0
PP_MIME_FAKE_ASCII_TEXT	autolearn=disabled;4;4;4;1.0;1.0
TVD_APPROVED	autolearn=disabled;3;3;3;1.0;1.0
FSL_CTYPE_WIN1251;3;3;3;1.0;1.0
DEAR_EMAIL;3;3;3;1.0;1.0
TVD_SUBJ_WIPE_DEBT;2;2;2;1.0;1.0
GB_CUSTOM_HTM_URI;2;2;2;1.0;1.0
FROM_ILLEGAL_CHARS;2;2;2;1.0;1.0
T_OBFU_DOC_ATTACH;1;1;1;1.0;1.0
TVD_SUBJ_WIPE_DEBT	autolearn=disabled;1;1;1;1.0;1.0
TEQF_USR_POLITE	autolearn=disabled;1;1;1;1.0;1.0
SUBJ_ILLEGAL_CHARS;1;1;1;1.0;1.0
ONE_TIME	autolearn=disabled;1;1;1;1.0;1.0
NOT_SPAM	autolearn=disabled;1;1;1;1.0;1.0
ADVANCE_FEE_5_NEW	autolearn=disabled;1;1;1;1.0;1.0
UNCLAIMED_MONEY	autolearn=disabled;2;2;1;1.0;0.5
TO_EQ_FM_DIRECT_MX	autolearn=disabled;1;1;0;1.0;0.0
BIGNUM_EMAILS_MANY	autolearn=disabled;1;1;0;1.0;0.0
TVD_APPROVED;4;3;3;0.75;0.75
LOW_PRICE	autolearn=disabled;4;3;3;0.75;0.75
PP_MIME_FAKE_ASCII_TEXT;23;17;17;0.73913;0.73913
FREE_QUOTE_INSTANT;25;17;17;0.68;0.68
T_TVD_MIME_NO_HEADERS;3;2;2;0.666667;0.666667
ADVANCE_FEE_4_NEW_MONEY;8;5;5;0.625;0.625
DEAR_SOMETHING;58;35;35;0.603448;0.603448
SUBJECT_DIET;10;6;6;0.6;0.6
DRUG_ED_ONLINE	autolearn=disabled;5;3;3;0.6;0.6
DRUG_ED_ONLINE;5;3;3;0.6;0.6
DEAR_SOMETHING	autolearn=disabled;5;3;3;0.6;0.6
DEAR_FRIEND;15;8;8;0.533333;0.533333
TVD_RCVD_IP4	autolearn=disabled;2;1;1;0.5;0.5
NA_DOLLARS	autolearn=disabled;2;1;1;0.5;0.5
MILLION_USD	autolearn=disabled;2;1;1;0.5;0.5
FIN_FREE	autolearn=disabled;2;1;1;0.5;0.5
DRUG_ED_CAPS;15;7;7;0.466667;0.466667
MONEY_BACK;13;6;6;0.461538;0.461538
SUBJECT_DIET	autolearn=disabled;7;3;3;0.428571;0.428571
FSL_NEW_HELO_USER;5;2;2;0.4;0.4
EXCUSE_REMOVE	autolearn=disabled;6;2;2;0.333333;0.333333
XM_RANDOM	autolearn=disabled;3;1;1;0.333333;0.333333
NO_PRESCRIPTION;3;1;1;0.333333;0.333333
FROM_MISSPACED;3;1;1;0.333333;0.333333
LOW_PRICE;32;10;10;0.3125;0.3125
WEIRD_QUOTING	autolearn=disabled;5;1;0;0.2;0.0
EXCUSE_24	autolearn=disabled;5;1;0;0.2;0.0
MSOE_MID_WRONG_CASE	autolearn=disabled;42;8;2;0.190476;0.047619
T_MONEY_PERCENT;43;8;5;0.186047;0.116279
THIS_AD;23;4;4;0.173913;0.173913
NA_DOLLARS;23;4;2;0.173913;0.086957
T_TVD_MIME_EPI	autolearn=disabled;12;2;2;0.166667;0.166667
MIXED_HREF_CASE	autolearn=disabled;25;4;2;0.16;0.08
BAD_CREDIT;58;9;9;0.155172;0.155172
TEQF_USR_POLITE;7;1;1;0.142857;0.142857
T_MONEY_PERCENT	autolearn=disabled;15;2;2;0.133333;0.133333
BIGNUM_EMAILS_MANY;27;3;3;0.111111;0.111111
UNCLAIMED_MONEY;9;1;0;0.111111;0.0
END_FUTURE_EMAILS;90;9;9;0.1;0.1
ADVANCE_FEE_5_NEW_MONEY;70;7;7;0.1;0.1
LOTS_OF_MONEY;228;19;19;0.083333;0.083333
T_TVD_MIME_EPI;24;2;1;0.083333;0.041667
FIN_FREE;38;3;3;0.078947;0.078947
FSL_HELO_BARE_IP_1;13;1;1;0.076923;0.076923
HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;82;6;1;0.073171;0.012195
HEADER_FROM_DIFFERENT_DOMAINS;220;16;13;0.072727;0.059091
HK_RANDOM_REPLYTO;15;1;1;0.066667;0.066667
MIXED_HREF_CASE;49;3;3;0.061224;0.061224
MILLION_USD;38;2;2;0.052632;0.052632
END_FUTURE_EMAILS	autolearn=disabled;21;1;0;0.047619;0.0
T_KAM_HTML_FONT_INVALID;24;1;1;0.041667;0.041667
MSOE_MID_WRONG_CASE;122;5;4;0.040984;0.032787
EXCUSE_24;27;1;1;0.037037;0.037037
EXCUSE_REMOVE;30;1;1;0.033333;0.033333
HELO_NO_DOMAIN;31;1;0;0.032258;0.0
GUARANTEED_100_PERCENT;36;1;1;0.027778;0.027778
LOTS_OF_MONEY	autolearn=disabled;46;1;1;0.021739;0.021739
BANG_GUAR;78;1;1;0.012821;0.012821
